java.lang.reflect.Constructor.newInstance(Object[]);System.Reflection.ConstructorInfo.ILOG.J2CsMapping.Reflect.Helper.Invoke<%1>(@0,@1)
java.util.Iterator.hasNext();ILOG.J2CsMapping.Collections.Generics.IIterator.HasNext()
java.util.Iterator.next();ILOG.J2CsMapping.Collections.Generics.IIterator.Next()
java.util.TreeSet.isEmpty();ILOG.J2CsMapping.Collections.Generics.IIterator.IsEmpty()
java.util.TreeSet.size();ILOG.J2CsMapping.Collections.Generics.IIterator.Count()
java.util.Iterator.hasNext();ILOG.J2CsMapping.Collections.Generics.IIterator.HasNext()
java.util.Set.iterator();ILOG.J2CsMapping.Collections.Generics.IIterator.new ILOG.J2CsMapping.Collections.Generics.IteratorAdapter<%1>(GetEnumerator())
java.util.EnumSet.complementOf(EnumSet<E>);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.EnumSet/* insert_here:<%1> */.ComplementOf/* insert_here:<%1> */(@1)
java.util.EnumSet.of(E);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.EnumSet/* insert_here:<%1> */.Of/* insert_here:<%1> */(@1)
java.util.EnumSet.allOf(Class<E>);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.EnumSet/* insert_here:<%1> */.AllOf/* insert_here:<%1> */(@1)
java.util.EnumSet.range(E,E);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.EnumSet/* insert_here:<%1> */.Range/* insert_here:<%1> */(@1,@2)
java.util.EnumSet.copyOf(Collection<E>);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.EnumSet/* insert_here:<%1> */.CopyOf/* insert_here:<%1> */(@1)
java.util.EnumSet.of(E,E,E,E,E);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.EnumSet/* insert_here:<%1> */.Of/* insert_here:<%1> */(@1,@2,@3,@4,@5)
java.util.EnumSet.of(E,E,E);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.EnumSet/* insert_here:<%1> */.Of/* insert_here:<%1> */(@1,@2,@3)
java.util.EnumSet.noneOf(Class<E>);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.EnumSet/* insert_here:<%1> */.NoneOf/* insert_here:<%1> */(@1)
java.util.EnumSet.of(E,E[]);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.EnumSet/* insert_here:<%1> */.Of/* insert_here:<%1> */(@1,@2)
java.util.EnumSet.of(E,E,E,E);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.EnumSet/* insert_here:<%1> */.Of/* insert_here:<%1> */(@1,@2,@3,@4)
java.util.EnumSet.copyOf(EnumSet<E>);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.EnumSet/* insert_here:<%1> */.CopyOf/* insert_here:<%1> */(@1)
java.util.AbstractCollection.contains(Object);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.Collections.Contains(@1,@0)
java.util.Stack.empty();ILOG.J2CsMapping.Collections.Generics.IIterator.(Count==0)
java.util.AbstractList.iterator();ILOG.J2CsMapping.Collections.Generics.IIterator.new ILOG.J2CsMapping.Collections.Generics.IteratorAdapter<%1>(GetEnumerator())
java.util.AbstractList.subList(int,int);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.Collections.SubList(@0,@1,@2)
java.util.SortedMap.entrySet();ILOG.J2CsMapping.Collections.Generics.IIterator.new ILOG.J2CsMapping.Collections.Generics.ListSet<KeyValuePair<%1,%2>>(@0)
java.util.SortedMap.keySet();ILOG.J2CsMapping.Collections.Generics.IIterator.new ILOG.J2CsMapping.Collections.Generics.ListSet<%1>(Keys)
java.util.SortedMap.subMap(K,K);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections.Generics.Collections.SubMap<%1,%2>(@0,@1,@2)
java.util.SortedMap.firstKey();ILOG.J2CsMapping.Collections.Generics.IIterator.Keys[0]
java.util.Collections.emptySet();ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections./* Generics. */Collections.EmptySet/* insert_here:<%1> */()
java.util.Collections.sort(List<T>,Comparator<? super T>);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections./* Generics. */Collections.Sort(@1,@2)
java.util.Collections.singleton(T);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections./* Generics. */Collections.Singleton(@1)
java.util.Collections.singletonList(T);ILOG.J2CsMapping.Collections.Generics.IIterator.ILOG.J2CsMapping.Collections./* Generics. */Collections.SingletonList<%1>(@1)
